id,title,company,content,publicationDate,location,type,tags
2,Drone Pilot,Extreme Aerial Productions,From movies to real estate to inspections to aerial data collection and 3d modelling we do it all each and every day. Position is 1099'd Extensive Drone training will be given company vehicle and drones will be provided we fly everything from Autel DJI FreeFly Firefly WingtraOne to Quantum and everything in between. And some cool new stuff you haven't heard about. This is a fast paced fun creative job with amazing clients who constantly challenge us and expect the very best from us our equipment and our deliverables. Summer is our peak season and we work from sun up to sun down which allows for increased earning potential. We love what we do and want to add another pilot to our growing family.,2022-03-29 15:41:25.435779,[United States] Arizona United States,Full-Time,7
3,Drone Pilot,Alamo Airborne,Alamo Airborne is bringing drone-assisted Services to Texas with its first location in the Alamo City. With our soft-washing drone we are saying goodbye to ladders scaffolding ropes and bucket trucks and using smarter faster and safer technology and raising the bar in an outdated inefficient industry. Alamo Automation only uses treatment products that are biodegradable non-corrosive and delivered in an efficient and accurate manner. We never power wash rather apply our eco-friendly treatment using a gentle “soft wash” that does not require any rinsing. We never walk around on our customers roofs which protects property and people. Our focus is on neutralizing the effects of pollution on built structures and specifically on restoring churches and steeples large homes small commercial properties and communication towers. We are seeking a self-starting individual who is business-minded mechanically inclined patient and friendly. Someone who always strives to do their best work while being loyal and true to their company. Duties will include: Education and Background This position requires a Remote Pilot Certificate from the FAA. This position requires advanced training in both: (Paid training upon employment) Skills and Competencies,2022-03-29 15:41:25.435911,[United States] San Antonio Texas Metropolitan Area,Full-Time,7
4,Wind Operations Specialist,Clobotics Wind Services,Description Clobotics Wind Services is looking for a full-time Wind Operations Specialist to help grow our operations in North America and make wind power more cost competitive. You will be a critical part of our team as we scale up service delivery in the Americas. This is customer facing role that requires working with autonomous drones to inspect wind turbine blades frequent travel and teaching others to use Clobotics drones. Must be comfortable with uncertainty and have a sense of adventure. A focus on communication teamwork and attention to detail will be important for your success. The work location is based in Seattle Wa and entails frequent travel. Responsibilities This position will work closely with the operations manager to deliver inspection services throughout the U.S.: • Become an expert user of Clobotics autonomous drones and provide product feedback. • Travel to windfarms across the U.S. to conduct blade inspections using autonomous drones. • Support business development by performing demonstrations for potential customers. • Work with engineering team to resolve technical issues fix bugs and test auto-flight software. • Train new pilots and provide remote technical support to customers. • Maintain update and repair drones and payloads. • Ship equipment domestically and internationally. • Create daily progress reports and document all safety and quality incidents. Requirements • Technical college or work experience in the wind industry • Willingness to travel • Microsoft office proficiency • Valid driver’s license with clean driving record • Ability to obtain a FAA drone pilot license • Basic electronics troubleshooting Desired •Passport •Wind turbine experience •FAA sUAS pilot license •Experience in the wind industry •Experience with drones •Flexible energetic and proactive.,2022-03-29 15:41:25.436071,[United States] Seattle WA,Full-Time,7
5,Engineer,Complete General Contractors Inc.,,2022-03-29 15:41:25.436274,[United States] Miami-Fort Lauderdale Area,Full-Time,7
6,Field Operator,Percepto - Autonomous Drones,Percepto is the leading provider of autonomous inspection and monitoring solutions harnessing robotics including our very own market-leading industrial drone-in-a-box solution. Our team is made up of software and hardware engineers industry experts and professionals who are all passionate about innovation and driven to push the boundaries of what’s possible with software AI and hardware. We are a fast growing company with offices in Israel the U.S. and Australia with Fortune 500 clients around the world. Our company growth is not stopping any time soon and we are looking for great talent like you to join our team! We are looking for a star Drone Operator to join the team. The job offers a substantial opportunity to advance to a customer facing project management and nation wide operations role in a relatively short period of time. Why join Percepto? We care about the people we work with; we want our team members to grow and develop professionally to find their job rewarding and intellectually stimulating and of course - to have fun and feel that they are part of the Percepto family. Responsibilities: Requirements:,2022-03-29 15:41:25.436320,[United States] West Palm Beach FL,Full-Time,7
7,Director Of Electrical Engineering,Vantage Robotics,Director of Electrical Engineering San Leandro California Job Description We’re looking for an experienced engineer to lead EE at Vantage and be the primary electrical designer of the micro drone we are developing for the Army’s Soldier Borne Sensor Program. You will work with a small and highly talented team developing products that will impact national security and have the potential to save lives. Requirements What We’re Looking For We’re looking to carefully build our small and highly capable team with candidates who have a track record of being top performers on prior teams. We are especially interested in your portfolio of projects demonstrating initiative and passion for topics areas relevant to Vantage. These projects should show your ability to push technical limits to achieve extraordinary results with limited time and budget. We will also be interested in your ability to contribute to a culture of passion for excellence taking bold risks and doing what it takes to make your projects wildly successful. Please make sure to include anything you believe is relevant to this in your initial contact. Compensation You can expect competitive startup salary generous equity a satisfying and fast-paced work environment talented co-workers and a product you will be proud to be involved with. About Vantage Robotics Vantage makes UAVs and UAV components for customers including the US Army Ford CNN FLIR the US Air Force and Stanford University. Our first product Snap achieved a landmark FAA waiver for commercial flight over people. Our second product Vesper was one of five products selected by the Pentagon for use by the federal government. We’re currently making the next generation micro drone for the US Army’s $100M Soldier Borne Sensor Program and a family of modular micro-gimbals as part of the Pentagon’s Blue UAS program. The company won Richard Branson's Extreme Tech Challenge and has been recognized by TechCrunch The Wall Street Journal CNN Wired Quartz and USA Today amongst many others. Vantage has been awarded over $10M in R&D contracts over the last two years and raised $11M in venture funding. The company has strong backing from VCs who previously backed Twitter and Zoom the founder of Insitu and the Pentagon’s Defense Innovation Unit. We are a team of Stanford engineers DARPA Grand Challenge winners IDEO and Volkswagen alums NASA roboticists 3D printer designers and pioneering software developers. We're also ardent kite surfers mountain bikers professional rock climbers competitive dancers surfers and award winning pilots. We work to achieve ambitious goals but also to achieve meaningful lives.,2022-03-29 15:41:25.436955,[United States] San Leandro CA,Full-Time,7
8,Navigation System Engineer(J10080),Joyoung,About Joyoung： Joyoung invented the world's first fully automatic soymilk machine (the first household appliance invented by the Chinese). With multiple product groups and more than 30 product lines such as small household appliances water purification kitchen appliances beans cooking utensils etc. it continues to expand in the field of healthy eating appliances. In 2018 it achieved strategic transformation and acquired SharkNinja a leading small appliance brand in the United States to expand the company's business into the field of household cleaning appliances out of the kitchen and into the world. Job responsibility： 1. Responsible for the development optimization and debugging of the motion control model; 2. Responsible for the development and optimization of mobile robot motion control; 3. Responsible for the development and optimization of the robot path tracking algorithm to improve the tracking accuracy of the path; 4. Responsible for fusing multiple sensors to realize real-time obstacle avoidance of robots. Job require： 1. Bachelor degree or above major in automation control engineering and control theory navigation guidance and control pattern recognition and intelligent system etc.; more than 2 years of work experience; 2. Proficient in C/C++ language programming and have a certain understanding of embedded development; 3. Proficient in the two-wheel differential model of the robot; 4. Possess knowledge of robot motion control and experience in sweeping robots drones robots and AGV related industries is preferred; 5. Experience in PID control and DWA motion control is preferred.,2022-03-29 15:41:25.437834,[China] Hangzhou Zhejiang China,Full-Time,7
9,IP Coordinator Greater China,Umicore,Reducing harmful vehicle emissions. Giving new life to used metals. Powering the cars of the future. As a global materials and technology group we apply our specialist knowledge to offer materials and solutions that are essential to everyday life. We aim to be a clear world leader in materials for clean mobility and recycling and have turned our sustainability approach into an even greater competitive advantage. With ambitions like this imagine what you could do? Umicore’s commitment to creating a sustainable future relies on innovation in all areas of business. As we keep pushing our boundaries and strive to set new industry standards embracing advanced technologies has never been more essential. By finding these technologies we can navigate challenges and enhance our capabilities. By sharing different ideas we can develop new business units or establish new divisions within our organisation. This is where contribution and collaboration are the drivers of real change. Where individual thought is identified incubated and nurtured for growth in years to come. There is still so much potential waiting to be unearthed. Which is where you come in.Umicore’s commitment to creating a sustainable future relies on innovation in all areas of business. As we keep pushing our boundaries and strive to set new industry standards embracing advanced technologies has never been more essential. By finding these technologies we can navigate challenges and enhance our capabilities. By sharing different ideas we can develop new business units or establish new divisions within our organisation. This is where contribution and collaboration are the drivers of real change. Where individual thought is identified incubated and nurtured for growth in years to come. There is still so much potential waiting to be unearthed. Which is where you come in. We aim to lead the way. Not just for our customers but for our employees too. That is why we strive to create a collaborative environment in which we can all succeed and a culture through which we can all share ideas develop our expertise and advance our careers. We engage in building an inclusive work culture that offers equal opportunities for all employees irrespective of their diverse backgrounds. As you would expect from a world-leading organisation we will also reward your contribution with a competitive salary and benefits. With all this and more imagine what you could do?,2022-03-29 15:41:25.438599,[China] Shanghai Shanghai China,Full-Time,7
10,Field Application Engineer,BlackBerry QNX,,2022-03-29 15:41:25.440533,[China] Shanghai Shanghai China,Full-Time,7
11,Senior Product Specialist Industrial &  Regional Team Lead Technical Support APAC,Movella,Senior Product Specialist Industrial & Regional Team Lead Technical Support APAC Do you get thrilled by providing technical support to customers in various industries? Do you have a background in B2B technical support customer in a fast paced high tech environment? Are you interested to work for a growing and innovative high tech company where people and fun are part of our core values? We'd love to have you! Your role as Senior Product Specialist Industrial & Regional Team Lead Technical Support APAC at Movella As a Senior Product Specialist Industrial you are the linking pin between the commercial and technical aspects of our business and will be the key technical contact for our industrial customers in the Asia Pacific region (APAC) for the Xsens MTi Technology product portfolio. This role requires that you are able to connect relate and communicate easily on several levels from user-manual questions to in-depth application support. You are an experienced and seasoned engineer with a strong will to operate in innovative high tech markets as Drones Autonomous Driving and Smart Farming. You have the drive to successfully serve customers with integrating our products into their applications in order to improve customer satisfaction. On a daily basis you work with our Account Executives located in the APAC region and our worldwide team of Product Specialists. You will report to the Product Specialist Manager located in the Netherlands with a dotted reporting line to APAC Regional Sales Director. As Regional Team Technical Support APAC you will be responsible for and managing our team of Product Specialists for APAC currently 3 people and expected to grow further in the years to come. Key challenges : Your skills and experience Movella is looking for a hands on and pragmatic Senior Product Specialist Industrial & Regional Team Lead Technical Support. Someone who thrives in an environment where your can do attitude is highly appreciated. You have: Working at Movella Movella is bringing meaning to movement. This new brand encapsulates the value and technologies from mCube Xsens and Kinduct. Our mission is to digitize movement so that people can extract meaning and impact positive change. We provide intelligent solutions for sensing capturing and analyzing motion and states of being. Our products accelerate innovation and create extraordinary outcomes in entertainment sports health and industrial markets.,2022-03-29 15:41:25.440655,[China] Jiading District Shanghai China,Full-Time,7
